# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,05,/de/kulinarik/sennerei-auf-der-alm-preval,9,4,6,4,0.4444444444444444,0,0
2026,05,/sl/kulinarika/restavracija-firbc-okn,9,8,9,9,0.8888888888888888,0,20.444444444444443
2026,05,/sl/poti/poti-po-naravi/orlova-pot-na-dolgi-njivi,9,8,8,7,0.8888888888888888,0,27.444444444444443
2026,05,/sl/prireditve/hrastov-memorial-mednarodni-gorski-preizkus-starodobnikov,9,7,9,9,0.7777777777777778,0,14.11111111111111
2026,05,/sl/znamenitosti/kulturne-znamenitosti/zmaj-iz-petelinjega-jajca,9,5,6,5,0.5555555555555556,0,0
2026,05,/sl/znamenitosti/naravne-znamenitosti/sentanski-rudnik,9,9,9,8,1,0,169.66666666666666
2026,06,/de/kulinarik/die-sennerei-plansarija-dolga-njiva,9,8,9,8,0.8888888888888888,0,14.777777777777779
2026,06,/en/attractions/cultural-attractions/the-old-town-centre,9,7,9,9,0.7777777777777778,0,9.333333333333334
2026,06,/en/blog/the-slibar-organic-farm-a-really-rural-retreat,9,5,9,9,0.5555555555555556,0,11.777777777777779
2026,06,/en/paths/cycling-routes/k35-ljubelj-pass,9,7,8,8,0.7777777777777778,0,1.4444444444444444
2026,06,/en/paths/mountain-hikes/kofce,9,7,9,8,0.7777777777777778,0,196.22222222222223
2026,06,/en/paths/mountain-hikes/via-alpina-the-purple-trail,9,7,8,8,0.7777777777777778,0,11.666666666666666
2026,06,/sl/poti,9,7,7,5,0.7777777777777778,0,125.88888888888889
2026,06,/sl/poti/kolesarske-poti/k17-precenje-kosute,9,5,6,4,0.5555555555555556,0,28.11111111111111
2026,06,/sl/poti/kolesarske-poti/k25-okrog-kriske-gore,9,4,5,3,0.4444444444444444,0,74.66666666666667
2026,06,/sl/poti/kolesarske-poti/k36-zelenica-granicarska-pot,9,7,7,7,0.7777777777777778,0,26.333333333333332
2026,06,/sl/poti/mestne-poti/pot-marsala-radetzkega,9,5,9,6,0.5555555555555556,0,339.6666666666667
2026,06,/sl/poti/mestne-poti/sledi-industrije-v-trzicu,9,7,8,6,0.7777777777777778,0,5.333333333333333
2026,06,/sl/prenocisca/koca-na-kobilici-dobrca,9,9,8,6,1,0,79.44444444444444
2026,06,/sl/prenocisca/planinski-dom-na-zelenici,9,8,7,6,0.8888888888888888,0,28.333333333333332
2026,06,/sl/prenocisca/postajalisce-za-avtodome-gorenjska-plaza,9,7,7,6,0.7777777777777778,0,6
2026,06,/sl/znamenitosti/kulturne-znamenitosti,9,6,7,6,0.6666666666666666,0,0
2026,07,/de/kulinarik/gasthof-karavla-297,9,9,9,9,1,0,12
2026,07,/de/kulinarik/gasthof-und-pizzeria-smuk,9,9,8,8,1,0,26.88888888888889
2026,07,/de/wege/wanderwege,9,8,6,4,0.8888888888888888,0,49.22222222222222
2026,07,/en/blog/jelendol-and-the-stegovnik-waterfall,9,6,8,7,0.6666666666666666,0,110
2026,07,/en/paths/mountain-hikes/korosica,9,4,5,2,0.4444444444444444,0,1.6666666666666667
2026,07,/it/alloggi/ostello-degli-scout-sija,9,6,8,8,0.6666666666666666,0,35
2026,07,/sl/aktivnosti/gorenjskabike,9,8,8,7,0.8888888888888888,0,78.55555555555556
2026,07,/sl/kulinarika/restavracija-raj,9,6,8,8,0.6666666666666666,0,15.333333333333334
2026,07,/sl/poti/kolesarske-poti/k41-bistriska-planina-ravne-rocknroll,9,5,7,5,0.5555555555555556,0,84.66666666666667
