tank,cas,meritev,globina_cm,vrednost,enota
Trzic-Tank1,2026-06-08T09:00:00,padavine,,1.4,mm
Trzic-Tank1,2026-06-08T10:00:00,padavine,,1.4,mm
Trzic-Tank1,2026-06-08T11:00:00,padavine,,1.2,mm
Trzic-Tank1,2026-06-08T12:00:00,padavine,,1.2,mm
Trzic-Tank1,2026-06-08T13:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T14:00:00,padavine,,1.2,mm
Trzic-Tank1,2026-06-08T15:00:00,padavine,,1.2,mm
Trzic-Tank1,2026-06-08T16:00:00,padavine,,1.2,mm
Trzic-Tank1,2026-06-08T17:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T18:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T19:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T20:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T21:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-08T22:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-08T23:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T00:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T01:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T02:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T03:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T04:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T05:00:00,padavine,,1.0,mm
Trzic-Tank1,2026-06-09T06:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T07:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T08:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T09:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T10:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T11:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T12:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T13:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T14:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T15:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T16:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T17:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T18:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T19:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T20:00:00,padavine,,0.8,mm
Trzic-Tank1,2026-06-09T21:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T22:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-09T23:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T00:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T01:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T02:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T03:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T04:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T05:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T06:00:00,padavine,,0.4,mm
Trzic-Tank1,2026-06-10T07:00:00,padavine,,0.6,mm
Trzic-Tank1,2026-06-10T08:00:00,padavine,,0.4,mm
Trzic-Tank1,2026-06-10T09:00:00,padavine,,0.6,mm
